cohort,Average_Investment,Total_Investment,Top_Fund
2024,107422.54183205638,3491125187,Mirae Asset Emerging Bluechip Fund - Regular - Growth
2025,109158.5770609319,30455243,SBI Small Cap Fund - Direct Plan - Growth
